name,description,price
Crispy Rice Meal,"5 Pieces crispy strips, rice, garlic, date and laban up drink.",26.0
Shish Tawook Platter Meal,"3 Shish tawook skewers, rice, garlic, 3 dates and Laban Up",28.0
Mix One Meal,"Three chicken crispy pieces, a chicken broasted piece, rice, garlic, three dates and Laban up",30.0
Half Tikka Meal,"Half tikka with rice, garlic, three dates and laban up.",28.0
Mix Grill Meal,"2 chicken skewer Kebab, 1 skewer chicken tawook, rice, dates, Laban up",35.0
Shawarma Rice Meal,"Shawarma with rice, garlic, 3 dates and Laban Up",26.0
Broasted Feast,"15 pieces meal, 6 pieces broasted, 3 crispy rice meals, three coleslaw salad, fries, bread, three dates, garlic sauce and Laban Up",99.0
Charcoal Kunafa Cheese,Description available upon request.,15.0
Charcoal Kunafa Cream,Description available upon request.,17.0
Oman Chips Box 6 Pieces,"Fried fresh chicken fillet, special sauce, lettuce, katsu sauce, potato bun, fresh vegetables served with different sauces of chicken, Omani chips, pepper, farrouj sauce.",82.0
Shawarma Box 12 Pieces,"Small Arabic bread, delicious shawarma slices, special Mexican or Lebanese sauce, lettuce, pickles served with various Mexican sauces, pickles, garlic sauce",45.0
Shawarma Slider Box 6 Pieces,"Potato bread, delicious shawarma slices, special Mexican or Lebanese sauce, lettuce, pickles, served with various Mexican sauces, pickles, garlic",58.0
Cheetos Box 6 Pieces,"Potato bun ,Specially Alfarooj Sauce , Tomato Slice , Lettuce , Fresh Fried Chicken filet , Cheese Sauce , Spicy Cheetos Served With Various Alfarooj Sauces Cheese , Pepper , Alfarooj Sauces",89.0
Cheetos Burger,"Potato bun, Specially Alfarooj Sauce, Tomato Slice,Lettuce, Fresh Fried Chicken filet, Cheese Sauce,Spicy Cheetos",37.0
Oman Chips Burger,"Potato bun , Specially Alfarooj Sauce , Lettuce ,Fresh Fried Chicken filet , KATSU SAUCE , Oman Chips",34.0
Mozzarella Burger,"Potato bread, special sauce, lettuce, slice of tomato, pickles, jalapeno, fresh fried chicken fillet, 2 pieces of mozzarella and cheese sauce.",37.0
Family Farooj Meal,"2 full farooj with fries, 2 hummus, 4 garlic and bread.",95.0
Full Farooj with Fries,"1 full Farooj with Fries Or Rice , 1 hummus, 2 garlic and bread.",49.5
Royal Mix Grill,"1/4 tikka, 1 tawook, 2 kabab with fries, 1 hummus and 1 garlic. Meal for 1.",46.75
Original Shawarma,"Chicken Shawarma, Arabic bread, pickles, fries, Lebanese sauce or Mexican sauce or Italian sauce.",9.0
Original  Shawarma Combo,Chicken Shawarma - Arabic bread - Pickles - Fries - Lebanese or Mexican or Italian sauce - French fries and 1 soft drink,18.0
Full Farooj With Rice,"1 full farooj with rice, 1 hummus, 2 Garlic Sauce and bread.",49.5
Family Mix Grill,"4 Pcs Chicken Tikka , 4 Seek Shish Tawook, 6 Seek Kabab ,Fries , bread and garlic sauce",110.0
Shawarma Tortilla,Chicken Shawarma - Tortilla bread - Lettuce - Pickles - Garlic Lebanese or Mexican sauce.,15.0
Shawarma Tortilla - Combo,Chicken Shawarma - Tortilla bread - Pickles - Lettuce - Lebanese or Mexican sauce - French fries and 1 soft drink,24.0
Shawarma Saj Platter - Combo,Chicken Shawarma - Arabic bread - Pickles - Fries - Lebanese or Mexican or Italian sauce - 1 French fries and 1 soft drink.,39.0
Shawarma Rice - Combo,Chicken Shawarma - Rice - Lebanese or Mexican sauce - soft drink.,31.0
Fajita Shawarma,"Fajita bread 27 cm, italian mayonnaise, garlic lebanese or mexican sauce, lettuce, pickled, potato, sweet corn and chicken shawarma.",18.25
Shawarma Platter - Combo,Chicken Shawarma - Garlic sauce - Bread - French Fries - Soft drink.,39.0
